TICKER	EVENT_DATE	QUARTER	FISCAL_YEAR
ABT	2007-07-18	Q2	2007
ABT	2007-10-17	Q3	2007
ABT	2008-01-23	Q4	2007
ABT	2008-04-16	Q1	2008
ABT	2008-07-17	Q2	2008
ABT	2008-10-16	Q3	2008
ABT	2009-01-12	Q-1	2008
ABT	2009-01-21	Q4	2008
ABT	2009-04-18	Q1	2009
ABT	2009-07-15	Q2	2009
ABT	2009-10-14	Q3	2009
ABT	2010-01-27	Q4	2009
ABT	2010-04-21	Q1	2010
ABT	2011-01-27	Q4	2010
ABT	2011-04-20	Q1	2011
ABT	2011-07-20	Q2	2011
ABT	2011-10-19	Q3	2011
ABT	2012-01-25	Q4	2011
ABT	2012-04-18	Q1	2012
ABT	2012-07-18	Q2	2012
ABT	2012-10-17	Q3	2012
ABT	2012-11-13	Q-1	2012
ABT	2013-01-23	Q4	2012
ABT	2013-03-14	Q-1	2013
ABT	2013-04-17	Q1	2013
ABT	2013-05-22	Q-1	2013
ABT	2013-05-30	Q0	2013
ABT	2013-06-11	Q-1	2013
ABT	2013-06-19	Q-1	2013
ABT	2013-07-17	Q2	2013
ABT	2013-10-16	Q3	2013
ABT	2014-01-22	Q4	2013
ABT	2014-04-16	Q1	2014
ABT	2014-06-12	Q0	2014
ABT	2014-07-16	Q2	2014
ABT	2014-10-22	Q3	2014
ABT	2014-11-11	Q-1	2014
ABT	2015-01-29	Q4	2014
ABT	2015-03-03	Q0	2015
ABT	2015-04-22	Q1	2015
ABT	2015-07-22	Q2	2015
ABT	2015-10-21	Q3	2015
ABT	2016-01-28	Q4	2015
ABT	2016-04-20	Q1	2016
ABT	2016-07-20	Q2	2016
ABT	2016-09-07	Q-1	2016
ABT	2016-10-19	Q3	2016
ABT	2017-01-11	Q-1	2017
ABT	2017-01-25	Q4	2016
ABT	2017-03-16	Q-1	2017
ABT	2017-04-19	Q1	2017
ABT	2017-07-20	Q2	2017
ABT	2017-10-18	Q3	2017
ABT	2018-01-09	Q0	2018
ABT	2018-01-24	Q4	2017
ABT	2018-04-18	Q1	2018
ABT	2018-07-18	Q2	2018
ABT	2018-10-17	Q3	2018
ABT	2019-01-23	Q4	2018
ABT	2019-04-17	Q1	2019
ABT	2019-07-17	Q2	2019
ABT	2019-10-16	Q3	2019
ABT	2020-01-22	Q4	2019
ABT	2020-04-16	Q1	2020
ABT	2020-07-16	Q2	2020
ABT	2020-10-21	Q3	2020
ABT	2021-01-27	Q4	2020
ADBE	2005-12-20	Q4	2005
ADBE	2006-03-23	Q1	2006
ADBE	2006-06-16	Q2	2006
ADBE	2006-09-15	Q3	2006
ADBE	2006-12-15	Q4	2006
ADBE	2007-03-21	Q1	2007
ADBE	2007-06-15	Q2	2007
ADBE	2007-09-18	Q3	2007
ADBE	2007-12-18	Q4	2007
ADBE	2008-03-19	Q1	2008
ADBE	2008-06-17	Q2	2008
ADBE	2008-09-17	Q3	2008
ADBE	2008-12-17	Q4	2008
ADBE	2009-03-18	Q1	2009
ADBE	2009-06-17	Q2	2009
ADBE	2009-09-16	Q3	2009
ADBE	2009-12-16	Q4	2009
ADBE	2010-03-24	Q1	2010
ADBE	2010-06-23	Q2	2010
ADBE	2010-09-22	Q3	2010
ADBE	2010-12-21	Q4	2010
ADBE	2011-03-23	Q1	2011
ADBE	2011-06-22	Q2	2011
ADBE	2011-09-21	Q3	2011
ADBE	2011-12-16	Q4	2011
ADBE	2012-03-20	Q1	2012
ADBE	2012-06-20	Q2	2012
ADBE	2012-09-20	Q3	2012
ADBE	2012-12-14	Q4	2012
ADBE	2013-02-26	Q-1	2013
ADBE	2013-03-20	Q1	2013
ADBE	2013-05-07	Q-1	2013
ADBE	2013-06-19	Q2	2013
ADBE	2013-09-18	Q3	2013
ADBE	2013-11-21	Q-1	2013
ADBE	2013-12-13	Q4	2013
ADBE	2014-03-19	Q1	2014
ADBE	2014-06-18	Q2	2014
ADBE	2014-09-17	Q3	2014
ADBE	2015-03-18	Q1	2015
ADBE	2015-06-17	Q2	2015
ADBE	2015-09-18	Q3	2015
ADBE	2015-12-11	Q4	2015
ADBE	2016-03-18	Q1	2016
ADBE	2016-06-22	Q2	2016
ADBE	2016-09-21	Q3	2016
ADBE	2016-12-16	Q4	2016
ADBE	2017-03-17	Q1	2017
ADBE	2017-06-21	Q2	2017
ADBE	2017-09-20	Q3	2017
ADBE	2017-12-15	Q4	2017
ADBE	2018-03-16	Q1	2018
ADBE	2018-06-15	Q2	2018
ADBE	2018-09-05	Q-1	2018
ADBE	2018-09-14	Q3	2018
ADBE	2018-11-14	Q-1	2018
ADBE	2018-12-14	Q4	2018
ADBE	2019-03-15	Q1	2019
ADBE	2019-06-19	Q2	2019
ADBE	2019-09-18	Q3	2019
ADBE	2019-12-13	Q4	2019
ADBE	2020-03-13	Q1	2020
ADBE	2020-06-12	Q2	2020
ADBE	2020-06-23	Q-1	2020
ADBE	2020-09-16	Q3	2020
ADBE	2020-12-10	Q4	2020
AMGN	2006-04-19	Q1	2006
AMGN	2006-07-21	Q2	2006
AMGN	2006-10-24	Q3	2006
AMGN	2007-01-26	Q4	2006
AMGN	2007-04-24	Q1	2007
AMGN	2007-07-27	Q2	2007
AMGN	2007-10-25	Q3	2007
AMGN	2008-01-25	Q4	2007
AMGN	2008-04-25	Q1	2008
AMGN	2008-07-29	Q2	2008
AMGN	2008-10-23	Q3	2008
AMGN	2009-01-27	Q4	2008
AMGN	2009-04-24	Q1	2009
AMGN	2009-07-28	Q2	2009
AMGN	2009-10-22	Q3	2009
AMGN	2010-01-26	Q4	2009
AMGN	2010-04-22	Q1	2010
AMGN	2010-07-30	Q2	2010
AMGN	2010-10-26	Q3	2010
AMGN	2011-01-25	Q4	2010
AMGN	2011-04-21	Q1	2011
AMGN	2011-07-29	Q2	2011
AMGN	2011-10-25	Q3	2011
AMGN	2012-01-10	Q0	2012
AMGN	2012-01-27	Q4	2011
AMGN	2012-04-25	Q1	2012
AMGN	2012-07-27	Q2	2012
AMGN	2012-10-24	Q3	2012
AMGN	2013-01-24	Q4	2012
AMGN	2013-03-06	Q0	2013
AMGN	2013-04-23	Q1	2013
AMGN	2013-05-21	Q-1	2013
AMGN	2013-05-30	Q-1	2013
AMGN	2013-06-12	Q-1	2013
AMGN	2013-07-31	Q2	2013
AMGN	2013-08-26	Q-1	2013
AMGN	2013-09-03	Q-1	2013
AMGN	2013-09-11	Q-1	2013
AMGN	2013-10-23	Q3	2013
AMGN	2014-01-29	Q4	2013
AMGN	2014-04-23	Q1	2014
AMGN	2014-06-12	Q0	2014
AMGN	2014-07-30	Q2	2014
AMGN	2014-10-28	Q3	2014
AMGN	2015-01-28	Q4	2014
AMGN	2015-04-22	Q1	2015
AMGN	2015-07-31	Q2	2015
AMGN	2015-10-29	Q3	2015
AMGN	2016-01-29	Q4	2015
AMGN	2016-04-29	Q1	2016
AMGN	2016-07-28	Q2	2016
AMGN	2016-10-28	Q3	2016
AMGN	2017-02-03	Q4	2016
AMGN	2017-04-27	Q1	2017
AMGN	2017-07-26	Q2	2017
AMGN	2017-10-26	Q3	2017
AMGN	2018-02-02	Q4	2017
AMGN	2018-04-25	Q1	2018
AMGN	2018-07-27	Q2	2018
AMGN	2018-09-12	Q-1	2018
AMGN	2018-09-14	Q-1	2018
AMGN	2018-10-31	Q3	2018
AMGN	2018-11-28	Q-1	2018
AMGN	2018-11-29	Q-1	2018
AMGN	2019-01-08	Q0	2019
AMGN	2019-01-30	Q4	2018
AMGN	2019-03-12	Q0	2019
AMGN	2019-05-01	Q1	2019
AMGN	2019-05-15	Q-1	2019
AMGN	2019-06-08	Q-1	2019
AMGN	2019-06-12	Q0	2019
AMGN	2019-07-31	Q2	2019
AMGN	2019-08-27	Q-1	2019
AMGN	2019-09-18	Q-1	2019
AMGN	2019-10-30	Q3	2019
AMGN	2020-01-15	Q0	2020
AMGN	2020-01-31	Q4	2019
AMGN	2020-05-01	Q1	2020
AMGN	2020-06-03	Q-1	2020
AMGN	2020-06-10	Q-1	2020
AMGN	2020-06-23	Q-1	2020
AMGN	2020-07-29	Q2	2020
AMGN	2020-10-29	Q3	2020
AMGN	2021-02-03	Q4	2020
AMT	2007-08-02	Q2	2007
AMT	2007-11-07	Q3	2007
AMT	2008-02-26	Q4	2007
AMT	2008-05-03	Q1	2008
AMT	2008-07-30	Q2	2008
AMT	2008-11-03	Q3	2008
AMT	2009-02-26	Q4	2008
AMT	2009-04-30	Q1	2009
AMT	2009-07-29	Q2	2009
AMT	2009-11-03	Q3	2009
AMT	2010-02-24	Q4	2009
AMT	2010-05-04	Q1	2010
AMT	2010-08-03	Q2	2010
AMT	2010-11-05	Q3	2010
AMT	2011-02-23	Q4	2010
AMT	2011-05-03	Q1	2011
AMT	2011-08-02	Q2	2011
AMT	2011-11-01	Q3	2011
AMT	2012-02-23	Q4	2011
AMT	2012-05-03	Q1	2012
AMT	2012-08-01	Q2	2012
AMT	2012-10-31	Q3	2012
AMT	2013-02-26	Q4	2012
AMT	2013-03-04	Q0	2013
AMT	2013-05-01	Q1	2013
AMT	2013-05-30	Q-1	2013
AMT	2013-07-31	Q2	2013
AMT	2013-10-30	Q3	2013
AMT	2014-02-25	Q4	2013
AMT	2014-05-01	Q1	2014
AMT	2014-07-30	Q2	2014
AMT	2014-10-30	Q3	2014
AMT	2015-02-24	Q4	2014
AMT	2015-04-30	Q1	2015
AMT	2015-07-29	Q2	2015
AMT	2015-09-17	Q-1	2015
AMT	2015-10-29	Q3	2015
AMT	2016-02-26	Q4	2015
AMT	2016-04-29	Q1	2016
AMT	2016-07-28	Q2	2016
AMT	2016-10-27	Q3	2016
AMT	2017-02-27	Q4	2016
AMT	2017-04-27	Q1	2017
AMT	2017-07-27	Q2	2017
AMT	2017-10-31	Q3	2017
AMT	2018-02-27	Q4	2017
AMT	2018-05-01	Q1	2018
AMT	2018-07-31	Q2	2018
AMT	2018-10-30	Q3	2018
AMT	2018-12-05	Q0	2018
AMT	2019-02-27	Q4	2018
AMT	2019-03-04	Q0	2019
AMT	2019-05-03	Q1	2019
AMT	2019-05-14	Q0	2019
AMT	2019-07-31	Q2	2019
AMT	2019-10-31	Q3	2019
AMT	2019-12-10	Q-1	2019
AMT	2020-02-25	Q4	2019
AMT	2020-04-29	Q1	2020
AMT	2020-07-30	Q2	2020
AMT	2020-10-29	Q3	2020
AMT	2020-11-18	Q0	2020
AMT	2021-02-25	Q4	2020
ASML	2006-10-18	Q3	2006
ASML	2007-01-17	Q4	2006
ASML	2007-04-18	Q1	2007
ASML	2007-07-18	Q2	2007
ASML	2007-10-17	Q3	2007
ASML	2009-01-15	Q4	2008
ASML	2009-04-16	Q1	2009
ASML	2009-07-15	Q2	2009
ASML	2010-01-20	Q4	2009
ASML	2010-07-14	Q2	2010
ASML	2011-03-06	Q4	2010
ASML	2011-04-13	Q1	2011
ASML	2011-07-13	Q2	2011
ASML	2011-10-12	Q3	2011
ASML	2012-01-18	Q4	2011
ASML	2012-03-11	Q-1	2011
ASML	2012-03-12	Q-1	2012
ASML	2012-03-14	Q-1	2012
ASML	2012-03-15	Q-1	2011
ASML	2012-03-16	Q0	2011
ASML	2012-04-18	Q1	2012
ASML	2012-05-10	Q-1	2012
ASML	2012-05-15	Q-1	2012
ASML	2012-05-22	Q-1	2012
ASML	2012-07-10	Q-1	2012
ASML	2012-07-18	Q2	2012
ASML	2012-09-13	Q-1	2012
ASML	2012-10-18	Q3	2012
ASML	2012-11-15	Q-1	2012
ASML	2012-11-29	Q-1	2012
ASML	2013-01-17	Q4	2012
ASML	2013-02-13	Q-1	2013
ASML	2013-02-25	Q-1	2013
ASML	2013-03-12	Q-1	2013
ASML	2013-04-17	Q1	2013
ASML	2013-04-24	Q-1	2013
ASML	2013-05-23	Q-1	2013
ASML	2013-07-17	Q2	2013
ASML	2013-09-04	Q-1	2013
ASML	2013-10-16	Q3	2013
ASML	2014-01-22	Q4	2013
ASML	2014-04-16	Q1	2014
ASML	2014-07-16	Q2	2014
ASML	2014-10-15	Q3	2014
ASML	2015-01-21	Q4	2014
ASML	2015-04-15	Q1	2015
ASML	2015-07-15	Q2	2015
ASML	2015-10-14	Q3	2015
ASML	2016-01-20	Q4	2015
ASML	2016-04-20	Q1	2016
ASML	2016-07-20	Q2	2016
ASML	2016-10-19	Q3	2016
ASML	2017-01-18	Q4	2016
ASML	2017-04-19	Q1	2017
ASML	2017-07-19	Q2	2017
ASML	2017-09-12	Q-1	2017
ASML	2017-10-18	Q3	2017
ASML	2018-01-17	Q4	2017
ASML	2018-04-18	Q1	2018
ASML	2018-07-18	Q2	2018
ASML	2018-10-17	Q3	2018
ASML	2019-01-23	Q4	2018
ASML	2019-04-17	Q1	2019
ASML	2019-07-17	Q2	2019
ASML	2019-10-16	Q3	2019
ASML	2020-01-22	Q4	2019
ASML	2020-04-15	Q1	2020
ASML	2020-07-15	Q2	2020
ASML	2020-10-14	Q3	2020
AXP	2007-07-24	Q2	2007
AXP	2007-10-23	Q3	2007
AXP	2008-01-29	Q4	2007
AXP	2008-04-25	Q1	2008
AXP	2008-07-22	Q2	2008
AXP	2008-10-21	Q3	2008
AXP	2009-01-27	Q4	2008
AXP	2009-04-24	Q1	2009
AXP	2009-07-24	Q2	2009
AXP	2009-10-23	Q3	2009
AXP	2010-01-22	Q4	2009
AXP	2010-04-23	Q1	2010
AXP	2010-07-23	Q2	2010
AXP	2010-10-26	Q3	2010
AXP	2011-01-25	Q4	2010
AXP	2011-04-21	Q1	2011
AXP	2011-07-21	Q2	2011
AXP	2011-08-04	Q-1	2011
AXP	2011-10-20	Q3	2011
AXP	2012-01-20	Q4	2011
AXP	2012-02-09	Q-1	2012
AXP	2012-04-19	Q1	2012
