ticker,quarter,fiscal_year,event_date,transcript_id,total_words,positive_count,negative_count,uncertainty_count,positive_ratio,negative_ratio,uncertainty_ratio,net_sentiment,sentiment_polarity
ABT,2,2007,2007-07-18 19:16:50,ABT_2330,4580,122,82,71,0.026637554585152837,0.017903930131004366,0.015502183406113538,0.008733624454148471,0.19607843137254902
ABT,2,2007,2007-07-18 19:40:03,ABT_3059,4589,122,82,70,0.026585312704292874,0.01786881673567226,0.015253867945086076,0.008716495968620615,0.19607843137254902
ABT,3,2007,2007-10-17 17:53:08,ABT_3153,4412,126,73,51,0.028558476881233003,0.01654578422484134,0.011559383499546692,0.012012692656391662,0.2663316582914573
ABT,4,2007,2008-01-23 21:45:06,ABT_4880,4882,167,75,74,0.03420729209340434,0.015362556329373207,0.015157722244981565,0.01884473576403113,0.38016528925619836
ABT,1,2008,2008-04-16 18:24:19,ABT_7370,4680,131,76,70,0.027991452991452993,0.01623931623931624,0.014957264957264958,0.011752136752136752,0.26570048309178745
ABT,2,2008,2008-07-17 00:49:23,ABT_10085,5096,184,70,70,0.03610675039246468,0.013736263736263736,0.013736263736263736,0.022370486656200943,0.44881889763779526
ABT,3,2008,2008-10-16 03:22:19,ABT_13081,4876,206,95,53,0.04224774405250205,0.01948318293683347,0.010869565217391304,0.022764561115668578,0.3687707641196013
ABT,-1,2008,2009-01-12 21:14:17,ABT_15761,2761,99,47,39,0.035856573705179286,0.017022817819630567,0.014125316914161535,0.01883375588554872,0.3561643835616438
ABT,4,2008,2009-01-21 21:08:15,ABT_15839,5178,178,69,67,0.034376207029741215,0.013325608342989572,0.012939358825801467,0.021050598686751645,0.44129554655870445
ABT,1,2009,2009-04-18 02:19:22,ABT_18425,5707,155,133,75,0.027159628526371122,0.0233047135097249,0.013141755738566673,0.003854915016646223,0.0763888888888889
ABT,2,2009,2009-07-15 20:21:54,ABT_20097,5295,174,105,77,0.03286118980169972,0.019830028328611898,0.014542020774315392,0.013031161473087822,0.24731182795698925
ABT,3,2009,2009-10-14 20:05:03,ABT_21846,4210,116,80,65,0.027553444180522565,0.019002375296912115,0.015439429928741092,0.00855106888361045,0.1836734693877551
ABT,4,2009,2010-01-27 21:49:30,ABT_23741,6853,246,100,106,0.03589668758208084,0.014592149423610097,0.015467678389026704,0.02130453815847074,0.42196531791907516
ABT,1,2010,2010-04-21 19:20:13,ABT_25194,5479,198,76,74,0.036137981383464135,0.013871144369410476,0.01350611425442599,0.02226683701405366,0.44525547445255476
ABT,4,2010,2011-01-27 00:06:16,ABT_29876,6581,190,130,81,0.02887099225041787,0.01975383680291749,0.012308159854125512,0.009117155447500379,0.1875
ABT,1,2011,2011-04-20 20:51:32,ABT_30971,4965,174,92,89,0.035045317220543805,0.01852970795568983,0.017925478348439074,0.016515609264853976,0.3082706766917293
ABT,2,2011,2011-07-20 18:21:11,ABT_32181,4528,175,72,42,0.03864840989399293,0.015901060070671377,0.009275618374558304,0.022747349823321553,0.41700404858299595
ABT,3,2011,2011-10-19 19:21:11,ABT_33828,6506,209,118,95,0.03212419305256686,0.018137104211497078,0.014601905932984938,0.013987088841069785,0.2782874617737003
ABT,4,2011,2012-01-25 19:51:21,ABT_35738,5721,192,83,91,0.033560566334556896,0.014507953155042825,0.015906310085649362,0.019052613179514073,0.39636363636363636
ABT,1,2012,2012-04-18 19:21:10,ABT_37393,4724,154,72,53,0.03259949195596952,0.015241320914479255,0.01121930567315834,0.017358171041490265,0.36283185840707965
