Ticker,Event_Date,Event_Type
ABT,2007-07-18,Earnings Call
ABT,2007-10-17,Earnings Call
ABT,2008-01-23,Earnings Call
ABT,2008-04-16,Earnings Call
ABT,2008-07-17,Earnings Call
ABT,2008-10-16,Earnings Call
ABT,2009-01-12,Earnings Call
ABT,2009-01-21,Earnings Call
ABT,2009-04-18,Earnings Call
ABT,2009-07-15,Earnings Call
ABT,2009-10-14,Earnings Call
ABT,2010-01-27,Earnings Call
ABT,2010-04-21,Earnings Call
ABT,2011-01-27,Earnings Call
ABT,2011-04-20,Earnings Call
ABT,2011-07-20,Earnings Call
ABT,2011-10-19,Earnings Call
ABT,2012-01-25,Earnings Call
ABT,2012-04-18,Earnings Call
ABT,2012-07-18,Earnings Call
ABT,2012-10-17,Earnings Call
ABT,2012-11-13,Earnings Call
ABT,2013-01-23,Earnings Call
ABT,2013-03-14,Earnings Call
ABT,2013-04-17,Earnings Call
ABT,2013-05-22,Earnings Call
ABT,2013-05-30,Earnings Call
ABT,2013-06-11,Earnings Call
ABT,2013-06-19,Earnings Call
ABT,2013-07-17,Earnings Call
ABT,2013-10-16,Earnings Call
ABT,2014-01-22,Earnings Call
ABT,2014-04-16,Earnings Call
ABT,2014-06-12,Earnings Call
ABT,2014-07-16,Earnings Call
ABT,2014-10-22,Earnings Call
ABT,2014-11-11,Earnings Call
ABT,2015-01-29,Earnings Call
ABT,2015-03-03,Earnings Call
ABT,2015-04-22,Earnings Call
ABT,2015-07-22,Earnings Call
ABT,2015-10-21,Earnings Call
ABT,2016-01-28,Earnings Call
ABT,2016-04-20,Earnings Call
ABT,2016-07-20,Earnings Call
ABT,2016-09-07,Earnings Call
ABT,2016-10-19,Earnings Call
ABT,2017-01-11,Earnings Call
ABT,2017-01-25,Earnings Call
ABT,2017-03-16,Earnings Call
ABT,2017-04-19,Earnings Call
ABT,2017-07-20,Earnings Call
ABT,2017-10-18,Earnings Call
ABT,2018-01-09,Earnings Call
ABT,2018-01-24,Earnings Call
ABT,2018-04-18,Earnings Call
ABT,2018-07-18,Earnings Call
ABT,2018-10-17,Earnings Call
ABT,2019-01-23,Earnings Call
ABT,2019-04-17,Earnings Call
ABT,2019-07-17,Earnings Call
ABT,2019-10-16,Earnings Call
ABT,2020-01-22,Earnings Call
ABT,2020-04-16,Earnings Call
ABT,2020-07-16,Earnings Call
ABT,2020-10-21,Earnings Call
ABT,2021-01-27,Earnings Call
ADBE,2005-12-20,Earnings Call
ADBE,2006-03-23,Earnings Call
ADBE,2006-06-16,Earnings Call
ADBE,2006-09-15,Earnings Call
ADBE,2006-12-15,Earnings Call
ADBE,2007-03-21,Earnings Call
ADBE,2007-06-15,Earnings Call
ADBE,2007-09-18,Earnings Call
ADBE,2007-12-18,Earnings Call
